QUEST,STYPE,LANG,QF,Q1,Q2,Q3A,Q3B,Q4A,Q4B,Q4C,Q4D,Q5A,Q5B,Q5C,Q5D,Q5E,Q5F,Q5G,USER,Q6A,Q6B,Q7A,Q7B,Q7C,Q7D,Q7E,Q8A,Q8B,Q9A,Q9B,Q9C,Q9D,Q9E,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20M1,Q20M2,Q20M3,Q21,Q22,Q23,Q24,AGE_COL,REGION,WEIGHT
228,2,EN,6,4,7,2,2, ,2,2,2,3,3,3,3,3,3,3,1, ,5,4,4,4,4, ,4,1,1,2,2,2,2,3,2,2,2,1,2, ,1980,4,1,2, , ,2,2,1,4,3,3,1.470244686
349,2,FR,5,1,5,5,5,4, ,7,2,1,2,2,4,4,1,1,1,2, ,7,6,7,3, ,3,3,1,1,2,2,2,2,20,2,1,1,2, ,1968,5,2,2, , ,2,2,1,7,3,2,0.853296791
1019,2,EN,5,2,7,5,5,6, ,4,2,2,2,3,3,2,2,1,1,1, ,7,2,7,7, ,1,1,1,1,2,2,2,3,1,1,2,3,2, ,1991,3,2,1, , ,2,99,99,7,2,2,1.578553362
1109,2,FR,5,1,7,7,7, ,7,7,2,3,3,4,4,4,2,1,1, ,3,5,5,7, ,6,1,2,1,2,1,1,1,2,1,1,3,1,2, ,1981,4,2,2, , ,2,2,1,7,3,2,0.853296791
1208,2,EN,10,2,7,6,6, ,5,4,2,2,2,3,4,3,2,2,1,1, ,7,7,7, ,4,4,4,1,2,1,2,1,2,20,1,1,1,2, ,1974,5,1,1, , ,2,99,2,3,3,5,1.068919838
1550,2,FR,5,2,7,4,4, ,2,5,1,3,3,3,3,2,2,2,1, ,1,6,5,6, ,6,3,3,1,2,1,1,1,2,1,1,2,3,1,21,1987,4,1,1, , ,2,2,2,3,3,2,1.000685055
1609,1,EN,6,2,7,3,4,1, ,2,2,2,3,3,4,4,3,2,1, ,3,7,6,6, ,4,4,2,97,97,1,1,2,2,1,1,1,3,2, ,9999,7,1,1, , ,2,2,2,4,4,3,1.191530466
2037,2,EN,6,3,7,4,4,5, ,5,2,2,2,2,2,2,2,2,1, ,98,5,4,4, ,4,3,2,1,2,2,2,2,2,88,2,2,3,2, ,1974,5,1,1, , ,1,2,2,4,3,3,1.470244686
3083,2,EN,6,2,5,6,3, ,5,3,2,2,2,2,4,4,2,1,1,1, ,7,5,4,6, ,4,4,1,1,1,1,2,2,1,2,2,1,2, ,9999,5,1,1, , ,2,2,1,7,3,3,1.470244686
3215,2,EN,10,3,4,3,3,3, ,4,1,1,2,2,3,2,1,1,1, ,3,5,5,6, ,4,3,2,1,2,1,2,2,2,1,1,3,3,2, ,1982,4,1,1, , ,2,2,2,6,3,5,1.068919838
3406,2,EN,4,1,7,5,5,1, ,1,1,3,4,4,4,4,2,2,1,1, ,7,6,6, ,3,4,4,1,1,1,1,1,2,1,1,2,1,2, ,9999,4,1,1, , ,1,2,2,4,3,1,0.47441061
3436,1,EN,9,3,6,6,6, ,4,1,2,2,3,3,4,4,2,3,1, ,98,98,5,7, ,7,4,4,97,97,1,1,97,98, ,2,1,1,2, ,1937,7,2,1, , ,1,2,2,1,4,4,0.53089607
3572,2,EN,2,2,5,6,6, ,5,7,1,2,2,3,3,3,1,2,1, ,1,6,6,7, ,4,4,4,1,2,1,2,2,2,1,1,2,1,1,98,1997,3,2,1, , ,1,2,2,4,2,1,0.466810868
3697,2,EN,10,1,7,6,6, ,6,4,1,1,2,4,4,3,2,1,1, ,1,1,2,1, ,3,4,4,1,2,1,1,1,3,1,1,2,1,2, ,9999,4,2,3, , ,2,2,1,99,3,5,0.743986141
3735,2,FR,5,2,7,4,4, ,4,3,2,2,2,2,2,2,2,3,1, ,2,3,5,7, ,7,2,2,2,2,1,2,2,2,20,1,3,1,2, ,1956,7,2,3, , ,2,1, ,4,4,2,0.869944987
3803,2,EN,6,3,7,2,1, ,6,4,1,4,4,3,4,99,4,2,1,2, ,7,7,7, ,2,4,1,97,2,1,2,2,3,21,1,2,3,1,24,1954,7,2,1, , ,1,2,2,1,4,3,1.209473778
3960,2,EN,6,1,7,7,7,7, ,7,2,2,2,2,3,2,2,2,1, ,98,7,7,7, ,7,4,4,2,1,1,1,2,2,1,2,2,3,2, ,9999,6,1,1, , ,1,2,1,4,4,3,1.191530466
4050,2,FR,5,2,7,3,3, ,1,5,2,3,3,3,3,4,3,3,1,1, ,3,98,6, ,3,4,98,1,2,2,2,1,2,2,1,4,1,2, ,1969,5,2,2, , ,2,2,2,6,3,2,0.853296791
4093,1,EN,6,1,5,5,5,5, ,5,2,3,3,4,3,4,4,4,1, ,2,5,3,3,5, ,2,2,1,2,1,1,1,3,98,2,3,3,2, ,1961,6,1,3, , ,2,2,2,5,4,3,1.191530466
4174,1,EN,6,3,6,98,2,6, ,4,2,3,2,3,4,3,2,2,1,1, ,6,6,7,6, ,4,3,1,1,1,2,2,2,25,2,2,1,2, ,1998,2,1,1, , ,2,2,2,2,1,3,3.504085299
4199,2,EN,1,1,7,4,1, ,1,2,1,3,4,2,4,4,2,3,1,1, ,6,7,7,4, ,4,4,1,1,2,1,98,2,3,1,2,1,1,98,1960,6,1,1, , ,2,1, ,4,4,1,0.368967875
4208,1,EN,7,2,7,4,4, ,3,3,2,4,3,4,4,4,4,2,1,2, ,7,7,7,7, ,3,3,2,1,1,1,2,1, ,1,3,1,2, ,1971,5,2,1, , ,2,1, ,2,3,4,0.808889158
4415,2,EN,6,3,1,1,1, ,5,7,1,1,2,4,4,3,2,1,1,1, ,3,1,4, ,1,4,2,1,1,1,2,2,3,1,2,4,3,2, ,1998,2,1,1, , ,2,2,1,2,1,3,3.504085299
4475,2,FR,5,3,3,4,4,4, ,3,2,3,3,2,3,3,2,2,1, ,2,2,4,3, ,2,2,1,1,2,1,2,2,2,20,1,4,3,2, ,1987,4,2,2, , ,2,2,2,1,3,2,0.853296791
5062,2,EN,5,2,5,7,7, ,6,5,1,1,1,2,2,2,2,2,1,1, ,5,5,5,5, ,4,2,2,2,2,2,2,3,98,2,3,2,2, ,9999,5,1,1, , ,2,2,2,2,3,2,1.000685055
5395,2,EN,4,3,6,5,4,2, ,4,2,1,2,4,4,2,1,1,1, ,3,7,5,7, ,4,4,4,97,97,1,2,2,3,1,1,1,1,2, ,1967,6,2,2, , ,2,2,2,6,4,1,0.378719786
5631,2,EN,1,1,7,5,5, ,6,5,2,1,4,3,2,4,3,3,1, ,1,7,5,7,4, ,2,2,1,2,1,2,2,3,1,2,1,2,2, ,1996,3,1,1, , ,2,2,1,6,2,1,2.181444937
5739,2,EN,8,3,5,4,5, ,5,4,1,2,3,3,3,2,2,2,1,98, ,5,4,5, ,3,1,4,1,2,1,2,2,2,1,1,2,3,2, ,1950,7,1,1, , ,2,2,2,2,4,4,0.520980832
5788,2,EN,5,2,5,2,2,5, ,5,1,2,3,3,4,3,1,1,1,3, ,7,4,5, ,2,2,3,97,1,2,2,2,3,1,2,1,1,2, ,1981,4,2,3, , ,2,2,2,7,3,2,0.853296791
5876,2,FR,5,3,4,4,4,2, ,4,1,2,2,4,4,3,1,2,1,1, ,2,3,5, ,3,4,2,1,1,1,2,2,2,25,1,2,3,1,20,1975,5,1,2,1, ,2,2,1,6,3,2,1.000685055
6193,2,EN,5,3,1,1,7, ,1,1,2,2,3,3,3,3,3,1,1, ,1,7,1,1, ,7,4,4,1,2,1,2,2,2,1,2,2,3,2, ,1994,3,99,2, , ,2,2,2,4,2,2,1
6223,1,EN,10,2,7,5,5, ,5,4,2,1,2,2,3,3,2,2,2, , , , , , , , , , , ,2,2,2, , ,2,3,1,2, ,1946,7,2,1, , ,2,2,2,6,4,5,0.996874362
6244,2,EN,9,4,6,2,2, ,2,1,2,2,2,2,3,3,2,3,1,1, ,5,5,1, ,1,1,4,1,1,2,2,2,2,20,2,2,1,2, ,2001,2,2,1, , ,2,2,2,6,1,4,1.058896163
6482,2,EN,6,4,1,7,7,1, ,1,1,1,4,1,2,2,1,2,1,2, ,2,2,1,2, ,3,1,2,2,2,2,2,2,1,2,4,3,2, ,1967,6,2,2, , ,2,2,2,4,4,3,1.209473778
6497,2,EN,10,2,5,5,4, ,6,5,1,2,3,3,3,3,2,2,1,1, ,7,5,5,4, ,4,3,1,97,1,2,2,2,1,1,3,3,2, ,1950,7,1,1, , ,2,2,2,2,4,5,0.963680978
6539,2,EN,7,1,1,1,1, ,7,1,1,1,98,3,3,2,2,2,1, ,4,5,7,1,7, ,4,4,97,2,2,2,1,3,3,2,2,3,1,23,1962,6,2,1, , ,2,2,2,2,4,4,0.53089607
6742,1,EN,6,1,7,5,6, ,1,1,2,3,4,3,3,3,4,3,1, ,1,7,7,7, ,7,4,2,1,1,1,1,2,2,1,2,2,1,1,22,1955,7,1,1, , ,2,2,2,4,4,3,1.191530466
7019,2,FR,5,3,5,5,5, ,6,4,1,3,3,3,4,2,2,2,1,1, ,5,3,5,3, ,3,2,1,1,1,2,1,2,26,1,3,3,1,98,1979,4,1,2, , ,2,2,2,6,3,2,1.000685055
7043,2,EN,6,2,7,4,4, ,1,7,1,1,4,4,4,4,2,3,1,1, ,7,7,4, ,7,4,4,1,1,1,1,1,2,26,1,3,1,1,2,1980,4,2,1, , ,2,2,2,6,3,3,1.312715615
7099,2,EN,4,3,5,2,4,5, ,3,2,1,2,2,3,2,1,1,1,1, ,6,1,7,5, ,4,3,1,2,1,2,2,2,2,2,3,3,2, ,1966,6,1,1, , ,2,2,2,6,4,1,0.368967875
7142,2,EN,5,2,6,3,3,4, ,3,2,2,3,3,3,3,1,1,1,2, ,6,3,5,4, ,2,2,1,2,2,2,2,3,98,2,1,3,2, ,1936,7,1,3, , ,2,2,2,7,4,2,0.838231238
7246,1,EN,7,3,4,3,3, ,5,4,2,2,3,3,3,3,2,2,1,2, ,3,3,5,4, ,3,3,2,2,2,2,2,2,23,2,4,3,2, ,1936,7,2,1, , ,2,2,2,4,4,4,0.53089607
7470,1,EN,6,1,7,7,7,5, ,5,1,1,2,2,2,1,1,1,1,2, ,5,4,7,1, ,1,1,1,1,1,1,2,2,1,2,1,3,2, ,1959,6,1,1, , ,1,2,2,2,4,3,1.191530466
7483,2,EN,6,1,7,7,7,7, ,7,1,2,4,3,4,4,1,4,1, ,2,7,7,7, ,7,4,4,2,1,1,1,1,1, ,1,1,1,2, ,1941,7,2,1,2, ,2,2,2,99,4,3,1.209473778
7650,2,EN,6,3,5,2,1,5, ,2,2,1,3,2,3,3,2,2,1, ,2,7,1,3,7, ,2,3,1,2,2,2,2,2,25,2,4,3,2, ,1943,7,2,1, , ,2,2,2,4,4,3,1.209473778
7671,2,EN,5,98,7,5,4,3, ,6,2,4,4,3,4,4,1,1,1, ,4,6,5,7, ,2,3,3,1,1,1,1,1,2,23,1,1,3,2, ,1978,4,2,1, , ,2,2,2,7,3,2,0.853296791
7743,1,EN,4,2,5,6,5, ,6,5,1,2,2,3,3,2,1,1,1, ,4,6,5,7, ,1,3,2,1,2,1,2,2,2,1,1,2,3,1,1,1950,7,2,1, , ,2,2,2,7,4,1,0.378719786
8110,1,EN,9,2,7,5,2,1, ,2,1,2,3,3,4,4,2,3,1, ,3,6,2,7, ,3,3,3,2,2,1,2,2,2,3,2,2,3,2, ,1941,7,2,1, , ,2,2,2,3,4,4,0.53089607
8259,2,EN,6,1,7,6,6, ,4,2,2,2,4,4,4,4,3,2,1, ,3,7,7,7, ,7,3,4,1,1,1,2,2,2,1,1,1,3,2, ,9999,3,1,1, , ,1,2,2,7,2,3,2.188165041
8281,2,EN,6,1,7,7,7, ,1,1,1,4,4,4,4,4,4,4,1, ,1,7,7,7,7, ,4,4,1,1,1,1,1,1, ,1,1,1,1,1,1973,5,2,1, , ,1,2,2,7,3,3,1.312715615
8376,2,EN,10,2,6,6,5, ,6,5,1,1,2,3,4,2,2,2,1,2, ,7,6,6, ,2,2,4,1,1,1,2,2,2,1,1,2,3,1,22,1960,6,1,1, , ,2,2,2,7,4,5,0.963680978
8486,2,EN,6,1,7,7,7, ,7,1,1,3,4,98,4,4,1,3,1,2, ,99,99,99, ,99,4,4,1,2,1,1,2,2,1,1,2,1,2, ,9999,4,2,1, , ,2,1, ,99,3,3,1.312715615
8698,2,FR,5,2,7,5,5,2, ,6,1,4,4,4,4,4,2,4,1, ,2,7,6,7, ,6,4,3,1,2,1,2,1,3,1,1,1,1,2, ,1985,4,2,2, , ,2,2,2,4,3,2,0.853296791
8782,2,EN,6,4,3,6,5,6, ,4,2,2,3,3,3,3,2,1,1, ,3,5,7,6, ,6,3,3,1,1,2,1,1,2,1,2,2,3,2, ,1980,4,1,3, , ,2,2,1,7,3,3,1.470244686
8864,1,EN,3,2,6,4,5,6, ,2,1,3,2,2,4,4,2,3,1, ,2,7,5,5, ,6,4,4,1,2,1,97,2,2,2,2,2,3,1,2,1967,6,1,1, , ,2,2,2,3,4,1,0.368967875
9207,2,FR,5,2,6,5,5,5, ,4,2,2,3,3,3,3,2,2,1, ,3,7,5,7, ,5,2,2,1,1,1,1,1,2,2,1,2,1,2, ,9999,4,1,2, , ,2,2,2,6,3,2,1.000685055
9354,1,EN,9,2,5,4,5, ,5,3,1,1,2,2,3,3,2,1,1,1, ,5,4,5,2, ,3,2,1,2,1,2,1,2,3,1,3,3,1,88,1959,6,1,1, , ,2,2,2,6,4,4,0.520980832
9439,1,EN,10,2,6,4,3, ,5,2,1,2,2,2,4,4,3,3,1,2, ,6,4,3,6, ,98,3,2,2,2,1,2,3,1,1,2,3,2, ,1946,7,2,1, , ,2,2,2,6,4,5,0.996874362
9448,1,FR,5,2,7,6,6, ,6,6,1,1,2,2,3,2,1,1,1,3, ,5,3,7,3, ,4,3,1,1,1,1,1,2,23,2,2,1,1,25,1951,7,1,2, , ,2,2,2,6,4,2,0.838231238
9522,2,EN,6,2,7,5,5, ,3,6,2,2,4,3,4,4,2,2,1,1, ,7,5,7,4, ,4,2,1,2,1,2,2,3,1,1,2,3,1,20,1974,5,2,1, , ,2,2,2,4,3,3,1.312715615
9652,2,FR,5,2,7,7,5, ,5,5,1,2,2,2,4,4,2,2,1,2, ,7,6,7,6, ,4,3,2,1,1,2,1,2,1,2,4,1,2, ,1957,7,2,2, , ,2,2,2,6,4,2,0.869944987
